date,Domestic Aviation,Ground Transport,Industry,Power,Residential,西班牙
2019-07-15,0.02,0.26,0.16,0.19,0.06,0.68
2019-07-16,0.02,0.25,0.17,0.19,0.06,0.69
2019-07-17,0.02,0.26,0.17,0.19,0.06,0.7
2019-07-18,0.02,0.27,0.18,0.21,0.06,0.73
2019-07-19,0.02,0.26,0.18,0.21,0.06,0.73
2019-07-20,0.02,0.18,0.17,0.19,0.06,0.61
2019-07-21,0.02,0.13,0.15,0.17,0.06,0.52
2019-07-22,0.02,0.26,0.18,0.21,0.06,0.73
2019-07-23,0.02,0.25,0.19,0.23,0.06,0.75
2019-07-24,0.02,0.26,0.21,0.24,0.06,0.79
2019-07-25,0.02,0.27,0.19,0.22,0.06,0.76
2019-07-26,0.02,0.26,0.19,0.22,0.06,0.75
2019-07-27,0.02,0.18,0.13,0.16,0.06,0.55
2019-07-28,0.02,0.13,0.14,0.16,0.06,0.5
2019-07-29,0.02,0.26,0.16,0.19,0.06,0.69
2019-07-30,0.02,0.25,0.16,0.19,0.06,0.68
2019-07-31,0.02,0.26,0.17,0.19,0.06,0.7
2019-08-01,0.02,0.27,0.19,0.22,0.06,0.76
2019-08-02,0.02,0.26,0.19,0.22,0.06,0.75
2019-08-03,0.02,0.18,0.17,0.2,0.06,0.62
2019-08-04,0.02,0.13,0.15,0.17,0.06,0.53
2019-08-05,0.02,0.26,0.19,0.21,0.06,0.74
2019-08-06,0.02,0.25,0.19,0.22,0.06,0.74
2019-08-07,0.02,0.26,0.2,0.22,0.06,0.76
2019-08-08,0.02,0.27,0.17,0.2,0.06,0.71
2019-08-09,0.02,0.26,0.15,0.17,0.06,0.66
2019-08-10,0.02,0.18,0.16,0.18,0.06,0.59
2019-08-11,0.02,0.13,0.13,0.14,0.06,0.48
2019-08-12,0.02,0.26,0.14,0.16,0.06,0.64
2019-08-13,0.02,0.25,0.16,0.18,0.06,0.66
2019-08-14,0.02,0.26,0.16,0.18,0.06,0.69
2019-08-15,0.02,0.27,0.14,0.16,0.06,0.65
2019-08-16,0.02,0.26,0.16,0.18,0.06,0.68
2019-08-17,0.02,0.18,0.14,0.16,0.06,0.56
2019-08-18,0.02,0.13,0.12,0.13,0.06,0.45
2019-08-19,0.02,0.26,0.15,0.17,0.06,0.65
2019-08-20,0.02,0.25,0.14,0.16,0.06,0.63
2019-08-21,0.02,0.26,0.16,0.19,0.06,0.69
2019-08-22,0.02,0.27,0.17,0.19,0.06,0.7
2019-08-23,0.02,0.26,0.17,0.19,0.06,0.7
2019-08-24,0.02,0.18,0.16,0.18,0.06,0.6
2019-08-25,0.02,0.13,0.13,0.15,0.06,0.48
2019-08-26,0.02,0.26,0.18,0.2,0.06,0.72
2019-08-27,0.02,0.25,0.21,0.24,0.06,0.78
2019-08-28,0.02,0.26,0.21,0.24,0.06,0.79
2019-08-29,0.02,0.27,0.2,0.23,0.06,0.77
2019-08-30,0.02,0.26,0.2,0.23,0.06,0.76
2019-08-31,0.02,0.18,0.16,0.18,0.06,0.59
2019-09-01,0.02,0.13,0.14,0.14,0.06,0.49
2019-09-02,0.02,0.26,0.16,0.16,0.06,0.66
2019-09-03,0.02,0.25,0.21,0.21,0.06,0.75
2019-09-04,0.02,0.26,0.2,0.2,0.06,0.75
2019-09-05,0.02,0.27,0.13,0.13,0.06,0.61
2019-09-06,0.02,0.26,0.13,0.13,0.07,0.61
2019-09-07,0.02,0.18,0.12,0.11,0.07,0.49
2019-09-08,0.02,0.13,0.13,0.13,0.06,0.47
2019-09-09,0.02,0.26,0.2,0.19,0.07,0.73
2019-09-10,0.02,0.25,0.11,0.11,0.08,0.56
2019-09-11,0.02,0.26,0.11,0.11,0.07,0.57
2019-09-12,0.02,0.27,0.16,0.15,0.06,0.66
2019-09-13,0.02,0.26,0.16,0.15,0.06,0.65
2019-09-14,0.02,0.18,0.13,0.13,0.06,0.51
2019-09-15,0.02,0.13,0.14,0.13,0.06,0.47
2019-09-16,0.02,0.26,0.22,0.21,0.06,0.77
2019-09-17,0.02,0.25,0.22,0.21,0.06,0.76
2019-09-18,0.02,0.26,0.22,0.22,0.06,0.78
2019-09-19,0.02,0.27,0.22,0.22,0.06,0.78
2019-09-20,0.02,0.26,0.21,0.21,0.06,0.76
2019-09-21,0.02,0.18,0.14,0.14,0.06,0.54
2019-09-22,0.02,0.13,0.13,0.13,0.07,0.47
2019-09-23,0.02,0.26,0.19,0.18,0.07,0.72
2019-09-24,0.02,0.25,0.18,0.17,0.06,0.69
2019-09-25,0.02,0.26,0.2,0.19,0.07,0.74
2019-09-26,0.02,0.27,0.21,0.2,0.06,0.75
2019-09-27,0.02,0.26,0.21,0.2,0.06,0.75
2019-09-28,0.02,0.18,0.19,0.18,0.06,0.62
2019-09-29,0.02,0.13,0.14,0.13,0.06,0.47
2019-09-30,0.02,0.26,0.2,0.19,0.06,0.73
2019-10-01,0.02,0.26,0.16,0.17,0.06,0.67
2019-10-02,0.02,0.26,0.16,0.17,0.07,0.68
2019-10-03,0.02,0.27,0.17,0.18,0.07,0.7
2019-10-04,0.02,0.26,0.18,0.19,0.06,0.72
2019-10-05,0.02,0.18,0.17,0.17,0.06,0.6
2019-10-06,0.02,0.13,0.14,0.14,0.06,0.49
2019-10-07,0.02,0.26,0.18,0.19,0.06,0.72
2019-10-08,0.02,0.26,0.19,0.19,0.06,0.72
2019-10-09,0.02,0.26,0.19,0.19,0.07,0.73
2019-10-10,0.02,0.27,0.19,0.2,0.07,0.74
2019-10-11,0.02,0.26,0.19,0.19,0.06,0.72
2019-10-12,0.02,0.18,0.11,0.12,0.06,0.49
2019-10-13,0.02,0.13,0.1,0.11,0.06,0.41
2019-10-14,0.02,0.26,0.14,0.15,0.07,0.64
2019-10-15,0.02,0.26,0.17,0.18,0.09,0.73
2019-10-16,0.02,0.26,0.16,0.17,0.09,0.7
2019-10-17,0.02,0.27,0.18,0.18,0.08,0.72
2019-10-18,0.02,0.26,0.17,0.17,0.07,0.7
2019-10-19,0.01,0.18,0.13,0.14,0.08,0.54
2019-10-20,0.02,0.13,0.13,0.14,0.1,0.51
2019-10-21,0.02,0.26,0.2,0.2,0.12,0.79
2019-10-22,0.01,0.29,0.18,0.19,0.12,0.79
2019-10-23,0.02,0.29,0.17,0.17,0.11,0.76
2019-10-24,0.02,0.29,0.16,0.16,0.1,0.72
2019-10-25,0.02,0.29,0.17,0.17,0.09,0.74
2019-10-26,0.01,0.22,0.14,0.15,0.09,0.62
2019-10-27,0.02,0.16,0.15,0.16,0.08,0.57
2019-10-28,0.01,0.29,0.17,0.18,0.08,0.73
2019-10-29,0.01,0.29,0.18,0.19,0.08,0.76
2019-10-30,0.01,0.29,0.18,0.19,0.08,0.75
2019-10-31,0.02,0.3,0.16,0.16,0.07,0.7
2019-11-01,0.01,0.17,0.11,0.09,0.07,0.46
2019-11-02,0.01,0.21,0.1,0.08,0.07,0.47
2019-11-03,0.02,0.15,0.08,0.07,0.09,0.41
2019-11-04,0.02,0.29,0.11,0.09,0.09,0.6
2019-11-05,0.01,0.29,0.14,0.11,0.11,0.67
2019-11-06,0.01,0.29,0.21,0.17,0.12,0.8
2019-11-07,0.01,0.29,0.17,0.14,0.13,0.74
2019-11-08,0.02,0.3,0.15,0.12,0.15,0.73
2019-11-09,0.01,0.23,0.14,0.12,0.14,0.64
2019-11-10,0.01,0.15,0.11,0.09,0.14,0.51
2019-11-11,0.02,0.28,0.19,0.15,0.14,0.78
2019-11-12,0.01,0.29,0.21,0.17,0.13,0.81
2019-11-13,0.01,0.29,0.21,0.17,0.12,0.8
2019-11-14,0.01,0.29,0.2,0.16,0.15,0.81
2019-11-15,0.02,0.3,0.22,0.18,0.17,0.87
2019-11-16,0.01,0.22,0.19,0.16,0.17,0.76
2019-11-17,0.02,0.15,0.14,0.12,0.16,0.58
2019-11-18,0.02,0.28,0.23,0.18,0.15,0.86
2019-11-19,0.01,0.28,0.28,0.23,0.17,0.97
2019-11-20,0.01,0.29,0.28,0.23,0.16,0.98
2019-11-21,0.01,0.29,0.28,0.22,0.15,0.95
2019-11-22,0.02,0.3,0.16,0.13,0.13,0.75
2019-11-23,0.01,0.23,0.11,0.09,0.13,0.57
2019-11-24,0.02,0.15,0.12,0.1,0.14,0.52
2019-11-25,0.02,0.28,0.19,0.15,0.12,0.76
2019-11-26,0.01,0.29,0.16,0.13,0.11,0.71
2019-11-27,0.01,0.29,0.13,0.1,0.11,0.64
2019-11-28,0.01,0.29,0.14,0.11,0.12,0.67
2019-11-29,0.02,0.3,0.21,0.17,0.11,0.81
2019-11-30,0.01,0.25,0.14,0.11,0.12,0.63
2019-12-01,0.02,0.18,0.16,0.11,0.13,0.6
2019-12-02,0.02,0.29,0.19,0.12,0.14,0.76
2019-12-03,0.01,0.29,0.25,0.17,0.16,0.88
2019-12-04,0.01,0.29,0.27,0.18,0.15,0.9
2019-12-05,0.02,0.3,0.24,0.16,0.14,0.86
2019-12-06,0.02,0.18,0.25,0.16,0.14,0.75
2019-12-07,0.01,0.23,0.24,0.16,0.15,0.79
2019-12-08,0.02,0.17,0.18,0.12,0.15,0.64
2019-12-09,0.02,0.23,0.2,0.14,0.13,0.72
2019-12-10,0.01,0.29,0.26,0.17,0.15,0.88
2019-12-11,0.01,0.29,0.21,0.14,0.15,0.81
2019-12-12,0.01,0.29,0.15,0.1,0.15,0.7
2019-12-13,0.02,0.3,0.12,0.08,0.1,0.61
2019-12-14,0.01,0.24,0.1,0.07,0.12,0.55
2019-12-15,0.01,0.18,0.11,0.07,0.13,0.51
2019-12-16,0.01,0.29,0.17,0.11,0.13,0.72
2019-12-17,0.01,0.29,0.21,0.14,0.14,0.79
2019-12-18,0.01,0.29,0.18,0.12,0.14,0.74
2019-12-19,0.02,0.3,0.11,0.07,0.12,0.62
2019-12-20,0.02,0.31,0.1,0.06,0.1,0.59
2019-12-21,0.02,0.25,0.09,0.06,0.1,0.51
2019-12-22,0.02,0.18,0.08,0.06,0.11,0.45
2019-12-23,0.02,0.29,0.12,0.08,0.13,0.62
2019-12-24,0.01,0.22,0.09,0.06,0.12,0.51
2019-12-25,0.01,0.13,0.1,0.07,0.13,0.44
2019-12-26,0.02,0.27,0.12,0.08,0.13,0.62
2019-12-27,0.02,0.26,0.15,0.1,0.15,0.67
2019-12-28,0.02,0.21,0.14,0.09,0.15,0.6
2019-12-29,0.02,0.15,0.14,0.09,0.15,0.56
2019-12-30,0.02,0.27,0.16,0.11,0.16,0.72
2019-12-31,0.01,0.2,0.17,0.11,0.16,0.66
2020-01-01,0.01,0.12,0.14,0.11,0.17,0.55
2020-01-02,0.02,0.27,0.16,0.13,0.17,0.75
2020-01-03,0.02,0.27,0.15,0.12,0.17,0.73
2020-01-04,0.02,0.23,0.12,0.1,0.17,0.63
2020-01-05,0.02,0.19,0.13,0.1,0.17,0.59
2020-01-06,0.02,0.14,0.14,0.11,0.17,0.57
2020-01-07,0.02,0.27,0.2,0.16,0.17,0.81
2020-01-08,0.01,0.27,0.2,0.16,0.16,0.8
2020-01-09,0.01,0.28,0.18,0.14,0.16,0.76
2020-01-10,0.01,0.29,0.16,0.13,0.16,0.75
2020-01-11,0.01,0.22,0.17,0.13,0.17,0.7
2020-01-12,0.01,0.13,0.17,0.14,0.18,0.63
2020-01-13,0.01,0.27,0.2,0.16,0.18,0.82
2020-01-14,0.01,0.27,0.14,0.11,0.17,0.7
2020-01-15,0.01,0.27,0.16,0.13,0.16,0.73
2020-01-16,0.01,0.28,0.15,0.12,0.14,0.71
2020-01-17,0.01,0.29,0.16,0.13,0.14,0.73
2020-01-18,0.01,0.21,0.13,0.11,0.15,0.61
2020-01-19,0.01,0.14,0.1,0.08,0.16,0.5
2020-01-20,0.01,0.28,0.14,0.11,0.18,0.72
2020-01-21,0.01,0.28,0.17,0.13,0.17,0.77
2020-01-22,0.01,0.28,0.2,0.16,0.16,0.81
2020-01-23,0.01,0.29,0.24,0.19,0.16,0.89
2020-01-24,0.01,0.29,0.25,0.19,0.15,0.9
2020-01-25,0.01,0.22,0.19,0.15,0.15,0.73
2020-01-26,0.01,0.15,0.14,0.11,0.15,0.57
2020-01-27,0.01,0.28,0.16,0.12,0.15,0.73
2020-01-28,0.01,0.28,0.16,0.13,0.13,0.71
2020-01-29,0.01,0.28,0.17,0.13,0.12,0.71
2020-01-30,0.01,0.28,0.15,0.12,0.12,0.69
2020-01-31,0.01,0.29,0.15,0.12,0.11,0.69
2020-02-01,0.01,0.22,0.13,0.08,0.11,0.55
2020-02-02,0.01,0.16,0.13,0.08,0.11,0.49
2020-02-03,0.01,0.28,0.19,0.13,0.11,0.72
2020-02-04,0.01,0.28,0.18,0.12,0.12,0.71
2020-02-05,0.01,0.28,0.19,0.12,0.14,0.75
2020-02-06,0.01,0.28,0.2,0.13,0.15,0.79
2020-02-07,0.01,0.28,0.22,0.14,0.15,0.8
2020-02-08,0.01,0.2,0.19,0.13,0.14,0.68
2020-02-09,0.01,0.14,0.15,0.1,0.14,0.54
2020-02-10,0.01,0.28,0.16,0.11,0.12,0.67
2020-02-11,0.01,0.28,0.21,0.14,0.12,0.76
2020-02-12,0.01,0.28,0.23,0.15,0.13,0.8
2020-02-13,0.01,0.28,0.2,0.13,0.12,0.75
2020-02-14,0.02,0.29,0.21,0.14,0.13,0.79
